[STDOUT] WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
[STDOUT] WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
[STDOUT] WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
[STDOUT] WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "animalgarden-seaotter-1.1.0-neoforge-1.21.1-21.1.213.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "animalgarden-spottedhyena-1.0.0-neoforge-1.21.1-21.1.211.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "animalgarden-sugargilder-1.0.0-neoforge-1.21.1-21.1.214.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "animalgarden-westerngorilla-1.0.0-neoforge-1.21.1-21.1.216.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "animalgarden-whiterhinoceros-1.0.0-neoforge-1.21.1-21.1.213.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "animalgarden_porcupine-1.0.2-neoforge-1.21.1-21.1.213.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "another_furniture-neoforge-4.0.2.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "anvianslib-neoforge-1.21-1.4.2.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "anvilcore-10.1 Release-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "Apotheosis-1.21.1-8.5.2.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
